Utterance	Location	Inferred Meaning	Done	1	2	3	4	5	6	7	8	9	10
Callimas at Bahar.	episode	Relief. Easing of pain or distress.	1	The medicine immediately made him feel better. 	They stopped worrying once the task was completed.	Her council and suggestions reduced his anxiety. 	He cheered up after their talk.	They were starting to recover.	He began to feel more at ease. 	The child stopped crying and smiled. 	She was doing better after the treatment. 	They were beginning to recuperate.	Their business was on the mend. 
Chatha and Terubim, the fire warm. 	acts of contrition	An invitation to come to your home to rest?	1	She invited her friend into her house.	He asked if they wanted to come into his home.	They asked if the group wished to come inside. 	An invitation was extended to come inside and rest. 	She offered their hospitality. 	He asked if they wanted to come in.	She suggested he seek shelter in her dwelling.  	Their household was offered for rest and comfort. 	They asked if she wanted accomodation.	The child proposed his friend come stay with them.
Chatha, her journey long.	acts of contrition	A long, tiring journey. 	1	The trip had been exhausting. 	The journey was tiring. 	The adventure had been long. 	They had had an arduous voyage. 	Her outing was exhausting. 	A difficult excursion. 	Their trek had seemed to last forever. 	Her excursion had been wearying.	The ride was draining. 	A trip that was strenuous.
Chenza at court. The court of silence.	episode	Incontestability. There is nothing more to be said.	1	All that needed to be said had been said.	The results were beyond reproach. 	The situation is clear and undeniable. 	Everything known was indisputable. 	The condition they found themselves in was unambiguous. 	The evidence was incontrovertible. 	What she learned was impossible to deny. 	He understood the situation was 	Everything was known, and no additional facts could change the situation. 	The state of affairs was clearly apparent and settled. 
Cthulia, the flames burning.	atonement	Worry of imminent danger?	1	They were worried about the possibility of imminent danger. 	She feared they might get hurt. 	He wondered if they were in jeopardy. 	The child was concerened about the hazards.	There might be terrible peril.	She thought they might be in jeopardy. 	The situation looked concerning.	One couldn't help wonder if it was unsafe.	The circumstances appeared grave.	It might injure them.
Darmok and Jilad at Tanagra.	episode	Cooperation. A joint venture with a mutually beneficial goal.	1	The two sides put aside their differences and worked together towards a common goal.	When they tried together, they were able to lift the heavy rock.	She helped him with the project. 	Knowing they would both be needed, they went together.	He held the board, while she hammered it in. 	They moved the bricks together so the job would go faster. 	The governments had a cooperative agreement and mutually beneficial relationship.	They shared the work, with her cooking and him doing the dishes.	Their easy working relationship made their task work out better than expected. 	When he worked with her, they were able to do twice the work of either of them individually.
Fendit in silence.	acts of contrition	I have not sought guidance/help.	1	It didn't occur to her to ask him to help.	He hadn't asked for assistance.	Guidance wasn't sought. 	They proceeded without seeking advice.	Instruction hadn't been given. 	They did not seek council.	She hadn't looked at the guide yet.	The child hadn't inquired.	No querries had been made.	No aid had been solicited.
Fendit, refusing the flame. 	acts of contrition	I have actively refused guideance/help.	1	She preferred to work alone, without assistance.	She refused her friend's help.	He didn't take his mentor's guidance. 	They ignored the advice they were given.	He didn't heed her instructions. 	They didn't use the council he had given. 	She dismissed the information in the guide. 	The child didn't follow what their parent said. 	She decided she knew better, and discarded the advice that had been given.	He disregarded the learned opinion of his peers.
Glenarat of Miwandi.	acts of contrition	Being a pilot of a vehicle / driving a vehicle	1	He became captain of the boat. 	The plane needed a pilot, and that was her. 	He hopped in the car and started driving. 	They drove the truck across the country.	She rode a motor cycle.	They piloted the jet home.	She steered the submarine in the ocean.	The mother drove the RV. 	A child started pedalling her bike.	They propelled the dump truck foward.
Hammat dancing.	acts of contrition	It's good / I like it. 	1	She enjoyed it. 	He liked it. 	The child was happy about it. 	It made them happy.	She reveled in it. 	It was positive. 	That made him feel a great affection.	He appreciated it. 	It filled them with delight.	They appreciated it.
Jeral at rest.	acts of contrition	I need to sleep.	1	He required rest.	She needed sleep.	They had to recouperate.	The child needed to nap.	They wanted to snooze.	The situation called for dozing off.	He wanted to fall asleep quickly. 	Getting some shuteye was essential.	It was bedtime.	They requested time to lie down and nod off.
Jeral, her arms weary.	acts of contrition	I am tired.	1	She was very sleepy.	They were exhausted. 	Exhaustion had overcome the child. 	He is tired.	The fatigue was showing. 	They were becoming quite weary.	She was completely worn out.	Work had drained him. 	She was spent at the end of the day.	They had become drained. 
Jeral, her eyes uplifted.	acts of contrition	I feel better.	1	His spirits were lifted. 	She felt better.	They were happier.	The child got cheered up.	It brightened their day.	Their mood was lightened.	He had been comforted.	It helped perk them up.	She was relieved.	They had been consoled.
Kadir beneath Mo Moteh.	episode	Imbecility. Not understanding.	1	He did not understand.	She couldn't comprehend what they were trying to tell her. 	They didn't seem to be able to fathom it.	No matter how hard they tried, he just couldn't seem to get the picture.	He couldn't appreciate what they were trying to say. 	The child failed to grasp the advanced topic.	She never realized what they were working to convey.	They did not comprehend. 	The business completely missed the customer's point. 	They lacked the knowledge to discern what was being said. 
Kailash. The door opening.	acts of contrition	An obstruction clearing.  Learning the truth?	1	The wall barring their path disappeared.	He was released and allowed to continue. 	Their friend was unhelpful but now was helpful.	Something the child obscured was discovered.	The door was unlocked.	The road was cleared, making it passable. 	They switched from hindering his efforts to helping them.	The company began being more cooperative.	The obstruction was removed.	Permission was finally given to do something.
Kailash. When it rises.	episode	Obstruction. Barring the way, to not do something.	1	A wall appeared in their path. 	He wanted to leave, but they held him back.	She refused to help them with their task.	The child hid something so their friend wouldn't find it. 	The key refused to unlock the door.	Rocks covered the road, making it unpassable. 	They compelled him not to do it. 	The company put up barriers for her request. 	The socket was covered, preventing the plug from going in. 	They wouldn't let the ship leave the port. 
Kiazi's children, their faces wet.	episode	Inutility. Nothing can be done to help, cannot emotionally support or treat an injury.	1	No matter what he did, the outcome would be the same.	There was nothing that could be done to help him.	She tried to make him feel better, but it was useless.	She knew nothing she could do would make it better.	Regardless of their action, the wound still hurt.	His injury was incurable.	Nothing seemed to help the pain, regardless of how much he tried. 	No treatment was available for her illness.	His arm hurt, and no treatment options were available.	The emotional pain was deep, and he knew it wouldn't improve.
Kira at Bashi.	episode	Story-telling. Dathon said this to get Picard to share a story.	1	The children sat in a circle to read the book together.	She asked him to tell her about it.	He asked them to explain it.	The council asked for her report. 	Once everyone was ready, they asked for him to begin the story. 	She asked him to read her the story. 	She told him about her experiences. 	The child described his day.	The narrator told the story in front of the audience. 	They described what had happened to those who listened. 
Kiteo. His eyes closed.	episode	Ignorance. Not knowing or choosing to know.	1	Though she told him what would happen, he didn't listen. 	They were ignorant of any scientific facts or observations.	He hadn't tried to learn the knowledge he needed.	She didn't know, but should have. 	He hadn't wanted to be taught. 	The child didn't want to go to listen to their lessons anymore.	The business intentionally refused to examine a possibility. 	They didn't want to familiarize themselves with the situation. 	They preferred being uneducated on the topic.	She chose to reject the evidence before examining it. 
Lemross, his buren heavy.	acts of contrition	Being in a difficult situation, with a lot of responsibility.	1	It was the captain's duty to make these sorts of life and death decisions.	Though he lost his job, he still had a family to provide for.	In spite of being sick, she still had to go in to work or no one would be able to open the store.	Though their relationship was strained, they still had to do the task.	Doing the job was difficult, but it needed to be done. 	She had a great deal of responsibility to make sure it would be finished, no matter how hard it got. 	His duty was clear, regardless of the effort required.	Her duty as a physician was clear. 	The professional responsibilities of someone in her position were understood. 	No matter what happened, they had an obligation to meet.
